"","GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
"64",112.010002,113.400002,85.25,92.410004,42698500,92.410004
"65",91.190002,91.5,53.330002,53.5,62427300,53.5
"66",54.040001,95,51.09,63.77,81345000,63.77
"67",72.410004,72.660004,58.02,60,25687300,60
"68",56.610001,57,46.52,50.310001,26843100,50.310001
"69",50.77,62.830002,46.549999,51.200001,36455000,51.200001
"70",50.009998,55.32,48.220001,51.099998,13056700,51.099998
"71",50.75,55.240002,48.049999,52.400002,14573300,52.400002
"72",52.66,53.5,49.040001,49.509998,8175000,49.509998
"73",49.77,51.189999,44.560001,45.939999,9186800,45.939999
"74",48.490002,48.869999,40.650002,40.689999,23990600,40.689999
